title,price,address,rooms,area,floor,total_floors,dormitory,residential_complex
2-комнатная квартира · 58 м² · 3/10 этаж,35 000 000〒,"Ауэзовский р-н, мкр Аксай-5, Момышулы 25 — Жубанова",2-комнатная квартира,58 м²,3,10,Нет,Да
1-комнатная квартира · 31.1 м² · 2/4 этаж,23 500 000〒,"Ауэзовский р-н, мкр №1",1-комнатная квартира,31.1 м²,2,4,Нет,Нет
3-комнатная квартира · 57.9 м² · 3/4 этаж,39 500 000〒,"Ауэзовский р-н, мкр №1 33 — Саина - Улугбека",3-комнатная квартира,57.9 м²,3,4,Нет,Нет
2-комнатная квартира · 57 м² · 1/3 этаж,39 500 000〒,"Ауэзовский р-н, Куаныш 17/5 — Жандосова",2-комнатная квартира,57 м²,1,3,Нет,Нет
3-комнатная квартира · 62 м² · 4/5 этаж,45 600 000〒,"Ауэзовский р-н, мкр Таугуль-3, Жандосова 186 — Саина",3-комнатная квартира,62 м²,4,5,Нет,Нет
2-комнатная квартира · 52 м² · 5/10 этаж,49 000 000〒,"Ауэзовский р-н, мкр Жетысу-1 28а",2-комнатная квартира,52 м²,5,10,Нет,Да
2-комнатная квартира · 69 м² · 16/17 этаж,49 500 000〒,"Ауэзовский р-н, Мамыр-1",2-комнатная квартира,69 м²,16,17,Нет,Да
3-комнатная квартира · 90.9 м² · 10/10 этаж,56 560 000〒,"Ауэзовский р-н, Толе би 298/1",3-комнатная квартира,90.9 м²,10,10,Нет,Да
1-комнатная квартира · 44.71 м² · 6 этаж,29 700 000〒,"Ауэзовский р-н, Райымбека",1-комнатная квартира,44.71 м²,,,Нет,Нет
3-комнатная квартира · 70.5 м² · 1/9 этаж,43 500 000〒,"Ауэзовский р-н, ул. Утеген батыра 84 — ул. Кабдолова (Маречека)",3-комнатная квартира,70.5 м²,1,9,Нет,Нет
2-комнатная квартира · 63 м² · 1/4 этаж,37 000 000〒,"Ауэзовский р-н, мкр №8 28 — Шаляпина утеген батыра",2-комнатная квартира,63 м²,1,4,Нет,Нет
2-комнатная квартира · 68.5 м² · 7/9 этаж,47 000 000〒,"Ауэзовский р-н, мкр Таугуль-3, Мустай Карима 12/15",2-комнатная квартира,68.5 м²,7,9,Нет,Нет
